state,nsch_2016,nsch_2017,nsch_2018,nsch_2019,disprev_nsch,acs_2016,acs_2017,acs_2018,acs_2019,disprev_acs
Alabama,15.8,22.1,15.9,20.8,18.7,6.7,5.6,6.2,4.4,5.7
Alaska,12.3,16.2,15.9,14.2,14.7,4.6,3,3.7,5.1,4.1
Arizona,15.2,10.5,12.9,21.2,14.9,4.9,4.5,5.1,5.2,4.9
Arkansas,17.9,24.5,20.5,16.7,19.9,6.6,7.8,7.8,7.4,7.4
California,12.8,11.4,13,6.4,11.1,4.2,3.9,4.1,4.1,4.1
Colorado,16.5,10.2,19.6,10.9,14.4,4,5,4.8,5.5,4.8
Connecticut,16,21.1,16.6,17,17.7,5.3,6.3,6.2,7,6.2
Delaware,16.6,20,17.1,19.8,18.4,6,4.1,6,6,5.5
Florida,17.6,18.8,13.6,13.5,15.9,5.4,5.9,5.5,5.6,5.6
Georgia,15.8,20.3,12.7,14.9,16,5.9,5,5.3,5,5.3
Hawaii,8.9,9.8,6.8,14.3,9.9,2.8,2.6,3.8,5.7,3.7
Idaho,14.5,16.9,13.7,13.8,14.7,5.6,6.5,5.2,5.6,5.7
Illinois,13.2,12.5,16.9,13.8,14.1,4.4,4.4,5,5,4.7
Indiana,18.3,19.9,14.9,18.9,18,5.9,7,6.3,6.2,6.4
Iowa,14.5,22.3,18.7,9.6,16.2,6.2,5.7,5.1,5.1,5.5
Kansas,18.3,18,17.9,19.5,18.4,5.8,5.2,6.6,6.8,6.1
Kentucky,19.8,17.1,20.5,17.5,18.8,7.6,7.9,9.1,8.4,8.2
Louisiana,17.1,11.6,18.6,21.1,17,7.1,6.6,6.6,7,6.8
Maine,21.1,14,20.1,17.6,18.3,9.9,9.2,8.4,9,9.2
Maryland,18.1,9.2,15.1,11.9,13.6,6.1,5.6,6.5,5.8,6
Massachusetts,19.2,22.3,21.6,16.2,19.9,8.1,6.8,7.6,7.7,7.5
Michigan,14.7,17.5,20.5,16.6,17.3,7,6.6,6.6,6.6,6.7
Minnesota,17.1,19.6,20.7,11.1,17.2,6,6.7,5.4,5.6,5.9
Mississippi,21.4,21.1,17.2,16,19,6.7,5.9,6.5,6.4,6.4
Missouri,17.8,15.3,20.1,18.6,17.9,6.2,6.5,6.6,6.2,6.4
Montana,19.6,23.1,19.1,22.3,21,4.8,4.9,6.6,5.1,5.4
Nebraska,16.4,18.7,17,15.8,17,4.2,4.8,4.6,4.9,4.7
Nevada,11.5,15.9,13.2,12.3,13.2,5.2,4,5.5,4.9,4.9
New Hampshire,17.3,19.2,20.5,22.9,19.9,8.4,11.5,7.8,8.7,9.1
New Jersey,14.7,13.8,12.9,14.5,14,4.4,5.5,4.5,6,5.1
New Mexico,15.6,12.9,16,17.2,15.4,4.6,5.3,6.4,6.4,5.6
New York,14.1,14.3,17.6,12.6,14.7,5.4,5.9,5.1,5.6,5.5
North Carolina,13,17.5,18.4,14,15.7,5.5,5.3,5.6,5.8,5.5
North Dakota,14.5,7.4,12.1,20.4,13.6,4.8,3.6,4,4.3,4.2
Ohio,17.5,12.9,18.9,22.4,17.9,7.2,7.3,7.2,7.2,7.2
Oklahoma,18.4,15.5,15.9,22,17.9,6.1,6.9,6,5.9,6.2
Oregon,19,16,14.6,20.2,17.4,6.3,5.2,6,8.4,6.4
Pennsylvania,16.1,18.4,19.9,25.4,19.9,7.9,8,8.4,8.2,8.1
Rhode Island,20.3,11.8,15.6,18.6,16.7,9,8.4,6.2,8,7.9
South Carolina,19.1,13.4,16.3,18.7,16.8,6.2,6.5,5.5,5.3,5.9
South Dakota,10.6,14.6,13.7,17.8,14.1,4.9,4.1,4.1,3.9,4.2
Tennessee,18.8,11.9,18.7,15.8,16.4,5.5,7.2,6.2,6.6,6.4
Texas,12.3,17,11.2,15.2,13.9,5.1,5,5.2,5.3,5.1
United States,15.4,15.6,15.7,15.1,15.4,5.6,5.7,5.7,5.8,5.7
Utah,14.4,6.5,14.2,15.5,12.6,4.4,5.2,3.5,4.3,4.4
Vermont,22.6,20.2,15.6,20.8,19.9,7.4,6.5,11.6,10,8.7
Virginia,13.5,16.6,17.7,8,14,6,5.6,6.3,6.1,6
Washington,15.7,14.5,19.7,10.8,15.2,5.1,5.8,5.3,6,5.6
West Virginia,16.7,13.7,23.2,18.4,18,7.7,7.4,7.2,8.2,7.6
Wisconsin,17.2,21.4,15.7,22.1,19.1,6.4,6.5,5.9,5.7,6.1
Wyoming,12.9,16,17.5,18.2,16.1,7.6,6.4,4.7,6.3,6.3
